City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,41.95,84,90,7.47,NZ,1692296852
1,utrik,11.2278,169.8474,82.69,74,37,11.65,MH,1692296852
2,puerto natales,-51.7236,-72.4875,34.25,60,20,4.61,CL,1692296853
3,iqaluit,63.7506,-68.5145,44.33,87,40,16.11,CA,1692296853
4,port-aux-francais,-49.35,70.2167,33.73,69,91,42.73,TF,1692296855
5,jamestown,42.097,-79.2353,78.39,62,100,13.8,US,1692296765
6,grand falls-windsor,48.9332,-55.6649,75.51,62,31,4.81,CA,1692296857
7,badger,64.8,-147.5333,58.14,80,100,9.22,US,1692296858
8,chonchi,-42.6128,-73.8092,47.41,76,70,6.85,CL,1692296859
9,erenhot,43.6475,111.9767,72.88,24,0,5.64,CN,1692296859
10,petropavlovsk-kamchatsky,53.0452,158.6483,61.39,94,75,4.47,RU,1692296860
11,koryazhma,61.3143,47.1691,64.24,80,86,4.61,RU,1692296814
12,adamstown,-25.066,-130.1015,64.15,53,51,27.45,PN,1692296861
13,sitka,57.0531,-135.33,55.29,88,75,4.61,US,1692296861
14,nikol'sk,53.7189,46.0712,71.33,54,58,6.29,RU,1692296861
15,byron bay,-28.65,153.6167,63.72,92,47,9.91,AU,1692296646
16,avarua,-21.2078,-159.775,75.25,78,100,10.36,CK,1692296862
17,san antonio de pale,-1.4014,5.6325,73.89,90,100,14.47,GQ,1692296862
18,tsiombe,-25.3,45.4833,65.77,65,4,15.88,MG,1692296863
19,margaret river,-33.95,115.0667,55.56,78,46,7.87,AU,1692296863
20,cockburn town,21.4612,-71.1419,84.16,74,75,11.5,TC,1692296864
21,yellowknife,62.456,-114.3525,59.52,90,100,11.5,CA,1692296564
22,grytviken,-54.2811,-36.5092,22.35,82,100,13.53,GS,1692296864
23,carnarvon,-24.8667,113.6333,61.05,42,0,23.73,AU,1692296864
24,mandalgovi,45.7625,106.2708,56.75,47,98,21.61,MN,1692296865
25,saudarkrokur,65.7461,-19.6394,53.94,78,100,6.02,IS,1692296865
26,tiksi,71.6872,128.8694,36.59,95,89,6.62,RU,1692296865
27,nantucket,41.2835,-70.0995,70.0,88,100,10.36,US,1692296622
28,hamilton,39.1834,-84.5333,81.88,59,20,18.41,US,1692296866
29,luderitz,-26.6481,15.1594,57.25,67,94,11.68,NA,1692296866
30,hawaiian paradise park,19.5933,-154.9731,80.89,87,75,5.75,US,1692296866
31,rikaze,29.25,88.8833,63.3,45,95,3.18,CN,1692296867
32,dame-marie,18.5667,-74.4167,85.37,69,12,5.99,HT,1692296867
33,whitehorse,60.7161,-135.0538,50.09,77,100,2.3,CA,1692296867
34,beyneu,45.3167,55.2,86.34,30,10,13.24,KZ,1692296867
35,ushuaia,-54.8,-68.3,38.82,56,0,3.44,AR,1692296868
36,lebu,-37.6167,-73.65,51.6,55,68,6.91,CL,1692296868
37,nadym,65.5333,72.5167,51.96,89,98,4.41,RU,1692296868
38,waitangi,-43.9535,-176.5597,46.81,85,52,4.0,NZ,1692296868
39,gadzhiyevo,69.2551,33.3362,47.37,78,100,25.97,RU,1692296869
40,aykhal,66.0,111.5,57.61,75,96,10.09,RU,1692296869
41,bel ombre,-4.6167,55.4167,78.64,89,40,14.97,SC,1692296870
42,valentin gomez farias,28.2167,-106.5833,85.23,27,1,9.93,MX,1692296870
43,ilulissat,69.2167,-51.1,48.22,49,20,3.44,GL,1692296871
44,callao,-12.0667,-77.15,73.69,64,75,10.36,PE,1692296871
45,lompoc,34.6391,-120.4579,78.93,86,75,4.61,US,1692296871
46,vanimo,-2.6741,141.3028,76.89,89,95,4.94,PG,1692296871
47,la'ie,21.6477,-157.9253,82.11,73,9,14.25,US,1692296872
48,port lincoln,-34.7333,135.8667,52.57,72,98,21.05,AU,1692296872
49,wailua homesteads,22.0669,-159.378,81.39,82,40,13.8,US,1692296872
50,port elizabeth,-33.918,25.5701,59.29,67,0,10.36,ZA,1692296872
51,at taj,24.2049,23.2857,88.88,16,0,11.79,LY,1692296873
52,gebeit,21.0667,36.3167,93.79,26,83,3.94,SD,1692296873
53,villa de soto,-30.8552,-64.9995,85.41,25,1,11.52,AR,1692296873
